S1,S2,VECM(q),mu,Johansen_slope,stdev,model,w1,w2
AAVEUSDT,AUTOUSDT,1.0,0.0,0.0,0.006787699182387035,1.0,-0.5859711912224869,0.41402880877751314
AAVEUSDT,BNBUPUSDT,0.0,6.733608064731937,0.0,0.011356868633564634,3.0,0.37762220660663137,0.6223777933933686
AAVEUSDT,KSMUSDT,0.0,0.0,0.0,0.002740426086036779,1.0,-0.508373254206724,0.49162674579327603
AAVEUSDT,XMRUSDT,1.0,-5.6717246027706505,-0.000304277437034314,0.0038390645518600005,4.0,-0.13171675748377057,-0.8682832425162295
AUTOUSDT,BNBUPUSDT,0.0,0.0,0.0,0.0061187231952766884,1.0,-0.4641607209424569,0.5358392790575431
AUTOUSDT,BNBUSDT,0.0,0.0,0.0,0.00494771008869463,1.0,-0.4242107635758627,0.5757892364241374
AUTOUSDT,KSMUSDT,0.0,0.0,0.0,0.006473375409095155,1.0,-0.4220140164064003,0.5779859835935997
AUTOUSDT,SOLUSDT,1.0,0.0,0.0,0.0058443166322827535,1.0,-0.28356646675597047,0.7164335332440296
AUTOUSDT,XMRUSDT,1.0,5.969609545594555,0.0003341171325499145,0.0035846411406564834,4.0,0.12286228083421469,0.8771377191657853
BCHUSDT,LTCUSDT,0.0,0.6623873864407541,0.0,0.0016625222879890662,2.0,0.5116512101979748,-0.48834878980202523
BCHUSDT,SOLUSDT,1.0,4.401476942367968,0.0,0.004108811085881192,2.0,0.34362944143489915,0.6563705585651008
BCHUSDT,XMRUSDT,1.0,5.455868031373608,0.0003273937956358293,0.004511742240884316,5.0,-0.015014754004057431,0.9849852459959426
BNBUPUSDT,BNBUSDT,0.0,0.0,0.0,0.0031579971626748424,1.0,-0.45962068195368916,0.5403793180463109
BNBUPUSDT,COMPUSDT,0.0,-6.4917620416491655,0.0,0.005281848196433755,3.0,-0.3315314701689371,-0.668468529831063
BNBUPUSDT,KSMUSDT,0.0,0.0,0.0,0.006887930929395176,1.0,-0.45730078901439625,0.5426992109856037
BNBUPUSDT,XMRUSDT,1.0,-5.881350048456027,-0.0003529784688880394,0.003776781284134739,4.0,-0.15486965911742048,-0.8451303408825795
BNBUSDT,XMRUSDT,1.0,-5.745002049413802,-0.0003221471874769672,0.003654195124594468,4.0,-0.2133757543023953,-0.7866242456976048
COMPUSDT,KSMUSDT,0.0,-0.6920219138168703,9.808259495384456e-05,0.002125466391401927,4.0,-0.5554544881449567,0.4445455118550433
COMPUSDT,XMRUSDT,1.0,-4.946155413126894,-0.00035258638850517926,0.004755348898582263,4.0,0.058612919677139344,-0.9413870803228607
DASHUSDT,KSMUSDT,0.0,0.0,0.0,0.0028696148968870685,1.0,-0.5214358841773614,0.4785641158226386
DASHUSDT,LTCUSDT,0.0,-1.9042251839233861,0.0,0.0022381187307511175,2.0,-0.6650160581225765,0.3349839418774236
DASHUSDT,XMRUSDT,1.0,-5.619548938573272,-0.0003025077992858306,0.0030813325372423444,4.0,-0.3536172116060905,-0.6463827883939095
KSMUSDT,SOLUSDT,1.0,-5.216979266239811,0.0,0.002796852305629014,2.0,-0.682364068811199,-0.3176359311888009
SOLUSDT,XMRUSDT,1.0,5.1552399684786145,0.00022305511671764724,0.004113741577550429,5.0,0.20836694792841767,0.7916330520715823
