S1,S2,VECM(q),mu,Johansen_slope,stdev,model,w1,w2
AAVEUSDT,AUTOUSDT,0.0,0.0,0.0,0.0029093948149312983,1.0,-0.536498739403758,0.4635012605962419
AUTOUSDT,BCHUSDT,0.0,0.0,0.0,0.002835543388865292,1.0,-0.4803940019935914,0.5196059980064086
AUTOUSDT,BNBUPUSDT,0.0,0.0,0.0,0.004341199924829662,1.0,-0.4545770718095542,0.5454229281904459
AUTOUSDT,BNBUSDT,0.0,0.0,0.0,0.002418135604741683,1.0,-0.46033835800802964,0.5396616419919704
AUTOUSDT,KSMUSDT,0.0,-2.058309945246895,-0.0001261442545689345,0.00264142905638651,5.0,-0.6107673650820784,0.3892326349179216
AUTOUSDT,LTCUSDT,0.0,0.0,0.0,0.002254907711117601,1.0,-0.42265935076117656,0.5773406492388234
AUTOUSDT,QNTUSDT,0.0,0.0,0.0,0.004115348043658526,1.0,-0.42575464168121596,0.574245358318784
AUTOUSDT,SOLUSDT,0.0,0.0,0.0,0.003040726982488305,1.0,-0.34893460045854313,0.6510653995414569
BCHUSDT,BNBUPUSDT,0.0,-2.85404108171086,0.0,0.001981052491255152,2.0,-0.7104255700773778,0.2895744299226221
BCHUSDT,BNBUSDT,0.0,0.0,0.0,0.0012659848759369024,1.0,-0.47982073554394933,0.5201792644560508
BCHUSDT,DASHUSDT,0.0,0.0,0.0,0.0015169030527758148,1.0,-0.446540667290983,0.553459332709017
BCHUSDT,QNTUSDT,0.0,0.0,0.0,0.00382044418912475,1.0,-0.44489429229006994,0.5551057077099302
BNBUPUSDT,BNBUSDT,0.0,-2.580218715190303,0.0,0.0006103810247025759,2.0,0.28300521336252615,-0.7169947866374738
BNBUPUSDT,LTCUSDT,0.0,0.0,0.0,0.0034528384489742924,1.0,-0.4675373155825578,0.5324626844174422
BNBUPUSDT,QNTUSDT,0.0,0.0,0.0,0.004753735017839191,1.0,-0.4708134806839274,0.5291865193160726
KSMUSDT,SOLUSDT,0.0,0.0,0.0,0.002739499632721851,1.0,-0.4024491383843979,0.5975508616156021
LTCUSDT,QNTUSDT,0.0,0.0,0.0,0.0031432720297397193,1.0,-0.5031078491578236,0.4968921508421764
LTCUSDT,SOLUSDT,0.0,0.0,0.0,0.002251416687075575,1.0,-0.4225400065214672,0.5774599934785328
