S1,S2,VECM(q),mu,Johansen_slope,stdev,model,w1,w2
AAVEUSDT,AUTOUSDT,0.0,0.3475236595262837,-0.00013128577087058018,0.0020375631775595934,4.0,-0.5286554240563655,0.47134457594363455
AAVEUSDT,BCHUSDT,0.0,2.533943074659194,0.0,0.000935895292992161,3.0,-0.32226735274563856,0.6777326472543614
AAVEUSDT,BNBUPUSDT,0.0,-2.398408484346428,0.0,0.001805397640848929,2.0,-0.7107751545745477,0.2892248454254524
AAVEUSDT,BNBUSDT,0.0,0.0,0.0,0.0013894308764171334,1.0,-0.5105535292940826,0.48944647070591746
AAVEUSDT,SOLUSDT,0.0,-1.347807207195796,0.0,0.002799742422757637,3.0,-0.5963712001424142,0.40362879985758576
AUTOUSDT,BCHUSDT,0.0,2.337316545811988,8.894965963238404e-05,0.0016266350620941666,4.0,-0.3027242683738441,0.6972757316261559
AUTOUSDT,BNBUPUSDT,0.0,3.011291409168596,-0.0001719267651925724,0.0027968247867163317,4.0,0.6796225600845985,-0.3203774399154014
AUTOUSDT,BNBUSDT,0.0,0.4968753474876926,-0.00013066932378611116,0.0022154222693185383,4.0,0.49255257389143087,-0.5074474261085692
BCHUSDT,BNBUPUSDT,0.0,-4.489449653783838,0.0,0.001124808762573945,3.0,-0.8388659411395796,0.16113405886042048
BCHUSDT,BNBUSDT,0.0,-2.74667443106286,0.0,0.0009298727570980503,3.0,-0.7011030757437544,0.29889692425624553
BNBUPUSDT,BNBUSDT,0.0,-2.316191187321106,0.0,0.0006878094396206957,2.0,0.31085401054293293,-0.6891459894570671
BNBUPUSDT,FARMUSDT,1.0,-0.12928107125616162,-0.0003869484705989175,0.004748999682978433,4.0,0.4578423959302389,-0.5421576040697611
BNBUPUSDT,KSMUSDT,0.0,0.0,0.0,,1.0,-0.49975036128040534,0.5002496387195947
BNBUSDT,COMPUSDT,0.0,0.0,0.0,0.0014517681099168271,1.0,-0.4988794970877712,0.5011205029122288
COMPUSDT,XMRUSDT,0.0,-1.577306314926261,-8.000794989389689e-05,0.0013986537460408885,4.0,0.3442563659990137,-0.6557436340009862
DASHUSDT,KSMUSDT,0.0,5.493435184628696,0.0,0.007184500522071459,2.0,0.7660531768171844,0.23394682318281554
KSMUSDT,QNTUSDT,0.0,5.7783366018353295,0.000341871371583474,0.007412023733013939,5.0,0.12694962972615256,0.8730503702738475
KSMUSDT,XMRUSDT,0.0,3.3730699832078397,0.0,0.004261943759974818,3.0,-0.1905715836403038,0.8094284163596962
LTCUSDT,XMRUSDT,0.0,1.5961859460361245,0.0,0.0017623067983646486,3.0,-0.3691008269238972,0.6308991730761029
SOLUSDT,XMRUSDT,0.0,3.2577036865952214,0.0,0.002211817298992348,3.0,-0.21444857367221132,0.7855514263277886
