S1,S2,VECM(q),mu,Johansen_slope,stdev,model,w1,w2
AAVEUSDT,AUTOUSDT,0.0,-0.6447925235785822,0.0,0.0031279605041866485,2.0,0.4923231154202122,-0.5076768845797878
AAVEUSDT,BNBUPUSDT,0.0,-2.1508356617545363,0.0001362548990879359,0.00283757249752942,4.0,-0.6889202861515644,0.3110797138484356
AAVEUSDT,BNBUSDT,0.0,0.18503547145485846,9.379419309891968e-05,0.0016119136309583255,4.0,-0.4906439429321667,0.5093560570678334
AAVEUSDT,KSMUSDT,0.0,-0.6542077478675561,0.0,0.001401028438621643,2.0,-0.5441932490538713,0.4558067509461287
AAVEUSDT,SOLUSDT,0.0,-0.9311227898377061,0.0,0.0017784194189011877,2.0,-0.4763851084798894,0.5236148915201106
AUTOUSDT,BCHUSDT,0.0,0.0,0.0,0.0034713361735161296,1.0,-0.4788457159075782,0.5211542840924218
AUTOUSDT,BNBUPUSDT,0.0,-3.1441278132554347,0.0001773316467259702,0.0034990376376599366,4.0,-0.7084340296139493,0.29156597038605064
AUTOUSDT,BNBUSDT,0.0,0.0,0.0,0.0030429116869704485,1.0,-0.4615394185755302,0.5384605814244697
AUTOUSDT,KSMUSDT,0.0,-1.3157558924323158,0.0,0.0031531692396091432,2.0,-0.5493256144786928,0.4506743855213073
AUTOUSDT,SOLUSDT,0.0,-1.4880256203813722,0.0,0.003469076491631685,2.0,-0.4794388637550227,0.5205611362449772
AUTOUSDT,XMRUSDT,0.0,-0.06628844631113019,0.00017792617347964877,0.00286367200875556,5.0,-0.44892328023588035,0.5510767197641196
BNBUPUSDT,BNBUSDT,0.0,-2.3347561531856287,0.0,0.0008755224654001231,2.0,0.3044336204532584,-0.6955663795467416
BNBUPUSDT,KSMUSDT,0.0,1.557840317250844,-0.00017084196623003863,0.0030923431972914852,4.0,-0.34358324764260095,0.656416752357399
BNBUSDT,KSMUSDT,0.0,-0.7617743299534558,-0.00011485919830856753,0.0017839536211910678,5.0,-0.545963989358752,0.45403601064124804
DASHUSDT,KSMUSDT,0.0,0.024687949448876794,0.0003126221378910397,0.0039288800277319695,5.0,-0.5049247025039549,0.4950752974960451
DASHUSDT,SOLUSDT,0.0,-0.35824461853900036,0.0002743728005076694,0.0034336912345305126,5.0,-0.4365389956060735,0.5634610043939265
KSMUSDT,SOLUSDT,0.0,-0.3801696365276386,0.0,0.0021450010353048737,2.0,-0.4314436600310909,0.5685563399689091
