S1,S2,VECM(q),mu,Johansen_slope,stdev,model,w1,w2
AAVEUSDT,COMPUSDT,3.0,-2.4316442080654586,0.0,0.0012362572424255652,2.0,-0.7127984843747486,0.28720151562525154
AUTOUSDT,BNBUPUSDT,0.0,0.0,0.0,0.0023666750901241364,1.0,-0.4606582289028743,0.5393417710971258
AUTOUSDT,KSMUSDT,1.0,-0.868422486235757,2.753606773647952e-05,0.0012446985558406355,5.0,-0.5266491035432902,0.47335089645670986
AUTOUSDT,QNTUSDT,1.0,-4.083843265188317,0.0,0.002485751514859894,3.0,-0.776999393580998,0.22300060641900196
AUTOUSDT,SOLUSDT,1.0,-2.857980066800598,0.0,0.001852386730632162,3.0,-0.6623911087817504,0.33760889121824955
BCHUSDT,LTCUSDT,0.0,2.1126945689449244,0.0,0.0013644282907029333,3.0,-0.26457095224159227,0.7354290477584078
BNBUPUSDT,KSMUSDT,0.0,0.0,0.0,0.0018255384594281106,1.0,-0.4979590136480993,0.5020409863519006
BNBUPUSDT,QNTUSDT,1.0,0.0,0.0,0.0035354907015157163,1.0,-0.4926591361225852,0.5073408638774147
BNBUPUSDT,SOLUSDT,0.0,0.0,0.0,0.002142649687116392,1.0,-0.46248396965920224,0.5375160303407979
BNBUSDT,KSMUSDT,0.0,-2.114336056379213,0.0,0.0009245645916691548,2.0,-0.6692989639221691,0.3307010360778309
BNBUSDT,QNTUSDT,1.0,-4.0904786036855025,0.0,0.0018720830742506905,3.0,-0.8338156608699493,0.16618433913005068
BNBUSDT,SOLUSDT,0.0,2.828996069043,0.0,0.0012619728065038306,2.0,0.7105420049071252,-0.2894579950928748
COMPUSDT,SOLUSDT,0.0,0.0,0.0,0.0018406466782165843,1.0,-0.46811367526762787,0.5318863247323722
LTCUSDT,SOLUSDT,0.0,2.0316539090261982,0.0,0.001349016965362818,2.0,0.6931246048869611,-0.3068753951130389
