S1,S2,VECM(q),mu,Johansen_slope,stdev,model,w1,w2
AAVEUSDT,BCHUSDT,0.0,-7.0101922274589015,0.0,0.00733899331240349,2.0,-0.025956223069145225,-0.9740437769308548
AAVEUSDT,DASHUSDT,0.0,-4.252515056321327,0.0,0.004726195145547283,2.0,0.12166968594752363,-0.8783303140524764
AAVEUSDT,LTCUSDT,0.0,-5.931898059442268,-0.0004962618785839617,0.00624114597182825,4.0,-0.33664236625669836,-0.6633576337433016
AUTOUSDT,BCHUSDT,2.0,5.544938786205954,0.0,0.007788923735950273,3.0,-0.0997020119423777,0.9002979880576223
AUTOUSDT,KSMUSDT,0.0,-6.637809055075323,0.0,0.009216187871409558,2.0,-0.1633829909717511,-0.836617009028249
BCHUSDT,COMPUSDT,0.0,0.0,0.0,0.00351796439089836,1.0,-0.48304217271558564,0.5169578272844143
BCHUSDT,DASHUSDT,0.0,5.72307070666159,0.0,0.005638131885128308,2.0,0.8979769944896833,-0.10202300551031679
BCHUSDT,KSMUSDT,0.0,0.0,0.0,0.0034892157210102974,1.0,-0.4771024941026387,0.5228975058973614
BCHUSDT,SOLUSDT,0.0,6.898521131605257,0.0,0.008494731158402113,2.0,0.9883985333089436,-0.011601466691056448
BCHUSDT,XMRUSDT,0.0,3.7954158971337155,0.0,0.003907219529948249,2.0,0.7493431007400835,-0.2506568992599166
BNBUPUSDT,BNBUSDT,1.0,-1.5805924265464568,0.0,0.0007496221899292327,2.0,0.34775460627224686,-0.6522453937277531
BNBUSDT,LTCUSDT,1.0,-6.154115017613863,0.0,0.004829651358946051,3.0,-0.803161970996167,-0.19683802900383293
COMPUSDT,DASHUSDT,1.0,0.0,0.0,0.0030932756124043303,1.0,-0.4663188458041413,0.5336811541958587
COMPUSDT,KSMUSDT,0.0,0.0,0.0,0.004549377778421024,1.0,-0.49398344104426767,0.5060165589557324
DASHUSDT,KSMUSDT,0.0,0.0,0.0,0.003698178089950492,1.0,-0.5277394350246409,0.47226056497535907
DASHUSDT,LTCUSDT,0.0,5.0748513164109195,0.0,0.006347398710784482,2.0,0.9421516034405756,-0.05784839655942447
DASHUSDT,XMRUSDT,0.0,0.0,0.0,0.001946562732538505,1.0,-0.505299550395181,0.494700449604819
KSMUSDT,LTCUSDT,0.0,0.0,0.0,0.004920462836143775,1.0,-0.47160455212123475,0.5283954478787652
KSMUSDT,SOLUSDT,0.0,-5.53309205094157,-0.00048658128730961537,0.006145372411637521,5.0,-0.6627839273658179,-0.3372160726341821
KSMUSDT,XMRUSDT,0.0,-2.421078101461057,0.0,0.005408983499701118,2.0,-0.6749269509841153,0.3250730490158847
LTCUSDT,SOLUSDT,0.0,4.406961760368477,0.0,0.00982282706743762,2.0,0.8635110414926152,-0.1364889585073848
LTCUSDT,XMRUSDT,0.0,-5.733385794921843,-0.00029262159483472235,0.00679572410497901,4.0,-0.7451565686865921,-0.2548434313134079
