S1,S2,VECM(q),mu,Johansen_slope,stdev,model,w1,w2
BCHUSDT,LTCUSDT,0.0,0.9971532416383709,-6.67371756786282e-05,0.0010611762993931815,5.0,-0.3679777194179783,0.6320222805820217
COMPUSDT,FARMUSDT,0.0,0.0,0.0,0.001453507429300367,1.0,-0.4654147839163015,0.5345852160836985
COMPUSDT,XMRUSDT,0.0,0.0,0.0,0.0019833993124881368,1.0,-0.48640815332221204,0.513591846677788
FARMUSDT,KSMUSDT,0.0,-4.725016293987188,0.0,0.0021392537505779347,2.0,-0.9658382505425888,0.03416174945741124
FARMUSDT,SOLUSDT,0.0,-4.911941591746013,0.0,0.0021818948153690216,2.0,-0.981459526098798,0.018540473901201966
