S1,S2,VECM(q),mu,Johansen_slope,stdev,model,w1,w2,form_del_min
BTCUSDT,ETHUSDT,0.0,-2.265644376260123,9.21328548211955e-05,0.0012839553138224687,5.0,-0.5294362435395021,0.4705637564604979,240
BTCUSDT,ETHUSDT,0.0,-5.3670992501361505,-0.00014622894261173594,0.0016772216430632192,5.0,-0.7012630617814396,0.29873693821856034,490
BTCUSDT,ETHUSDT,0.0,-1.6734313670923981,0.0,0.0011631255936288727,3.0,-0.49679723129952524,0.5032027687004748,815
BTCUSDT,ETHUSDT,0.0,-1.9567877633892135,3.336538282779855e-05,0.0009903152807582308,5.0,-0.5122724115401535,0.4877275884598466,820
BTCUSDT,ETHUSDT,0.0,-1.9406578112900146,3.079392428665815e-05,0.0008067931529315836,4.0,-0.5114100860174313,0.4885899139825688,830
BTCUSDT,ETHUSDT,0.0,-1.9938792618365044,3.357863522320801e-05,0.0007975367548110513,5.0,-0.5143328023912992,0.48566719760870075,835
BTCUSDT,ETHUSDT,0.0,-2.000635305553693,3.422521993593797e-05,0.0007855121060289854,5.0,-0.5147095672010489,0.4852904327989512,840
BTCUSDT,ETHUSDT,0.0,-2.0428553374556686,3.970295331545459e-05,0.0008260676992130489,5.0,-0.5170240460297907,0.4829759539702093,845
BTCUSDT,ETHUSDT,0.0,-2.7596835375379243,0.0,0.0017458537101521527,3.0,-0.5571344498071573,0.4428655501928426,1045
BTCUSDT,ETHUSDT,0.0,-2.935892711671584,0.0,0.001737755878221037,2.0,-0.5668236459243674,0.43317635407563265,1050
BTCUSDT,ETHUSDT,0.0,-2.8870417779799684,0.0,0.0018699001635805775,2.0,-0.5641224223082921,0.43587757769170793,1075
BTCUSDT,ETHUSDT,0.0,10.231151462453038,0.0003056273383430018,0.002841068649705623,4.0,0.829275305135522,0.170724694864478,1525
BTCUSDT,ETHUSDT,0.0,0.0,0.0,0.002613614339361594,1.0,-0.40831184775024915,0.5916881522497508,1690
BTCUSDT,ETHUSDT,0.0,-3.173362662578862,0.0,0.0034083998626454615,2.0,0.23581560555095654,-0.7641843944490435,1710
BTCUSDT,ETHUSDT,0.0,-5.130106771509709,0.0,0.0046628418288108,2.0,0.12947627599995987,-0.8705237240000401,1715
BTCUSDT,ETHUSDT,0.0,0.41200088226121545,-0.00013088506492433025,0.001385386551107312,4.0,-0.38636386777757864,0.6136361322224214,1720
BTCUSDT,ETHUSDT,0.0,-0.40378991163032285,0.0001220925141190448,0.0014063902146791353,4.0,0.38675009075829364,-0.6132499092417064,1725
BTCUSDT,ETHUSDT,0.0,-0.3094121791430381,0.00010792529975310993,0.0014126626053489572,4.0,0.39180414745643005,-0.6081958525435699,1730
BTCUSDT,ETHUSDT,0.0,0.5072409985726332,-0.00010624406138631589,0.0014196698654412154,4.0,-0.381027423181525,0.618972576818475,1735
BTCUSDT,ETHUSDT,0.0,0.0,0.0,0.0026313017680644215,1.0,-0.40809557145677117,0.5919044285432289,1740
BTCUSDT,ETHUSDT,0.0,-9.59469799944413,0.0,0.0026545682293951014,2.0,-0.6153710189633077,-0.3846289810366923,1745
BTCUSDT,ETHUSDT,0.0,-1.245302494385183,-5.7580387590840446e-05,0.0008937139123744241,4.0,-0.4758271330822193,0.5241728669177808,1785
BTCUSDT,ETHUSDT,0.0,0.0,0.0,0.0013145631616122706,1.0,-0.4079316987280001,0.5920683012719999,1810
BTCUSDT,ETHUSDT,0.0,3.153022976941101,0.0,0.001953216224667017,3.0,-0.2366574737539395,0.7633425262460605,1815
BTCUSDT,ETHUSDT,0.0,0.0,0.0,0.0013649317851295874,1.0,-0.4075718107583093,0.5924281892416907,2060
BTCUSDT,ETHUSDT,0.0,-1.9747013184955864,0.0,0.0015410989805835027,2.0,0.3002949647927841,-0.6997050352072158,2070
BTCUSDT,ETHUSDT,0.0,-2.093057789281308,0.0,0.0014466595946585822,2.0,0.29388514291964035,-0.7061148570803596,2075
BTCUSDT,ETHUSDT,0.0,-1.9867302518479226,0.0,0.0015435092867183062,2.0,0.2996842322549706,-0.7003157677450295,2080
BTCUSDT,ETHUSDT,0.0,-1.9277287713803621,0.0,0.0015148135396513911,2.0,0.30288631544106165,-0.6971136845589384,2085
BTCUSDT,ETHUSDT,0.0,-2.4232970822962345,0.0,0.0016686907458311933,2.0,0.27598650245718964,-0.7240134975428103,2090
BTCUSDT,ETHUSDT,0.0,-2.666161555227032,0.0,0.0018206057778215987,2.0,0.26279859422059054,-0.7372014057794094,2095
BTCUSDT,ETHUSDT,0.0,-2.716597584556955,0.0,0.0019013536183563639,2.0,0.2600777203692792,-0.7399222796307209,2100
BTCUSDT,ETHUSDT,0.0,0.0,0.0,,1.0,-0.40820538465651085,0.5917946153434892,2105
BTCUSDT,ETHUSDT,0.0,5.295945418641282,-0.00011356998375371844,0.0023579047801264366,5.0,-0.12004286993846736,0.8799571300615328,2555
BTCUSDT,ETHUSDT,0.0,-4.936411740084979,0.0,0.0013324329874840634,3.0,-0.6741002791511196,0.32589972084888047,2605
BTCUSDT,ETHUSDT,0.0,-0.3399358037450351,-9.5105069733537e-05,0.0009920770307796664,4.0,-0.4251054380385186,0.5748945619614814,2620
BTCUSDT,ETHUSDT,0.0,-0.43482278436885874,0.00011029711651003649,0.0012733358137564231,4.0,0.38310222929399473,-0.6168977707060053,2625
BTCUSDT,ETHUSDT,0.0,-1.1364172486286173,-9.529629833315243e-05,0.0012959384531758395,4.0,-0.46814058679335985,0.5318594132066401,2650
