stock1,stock2,trade_capital,open,loss,reward,open_num
AAVEUSDT,FTMUSDT,2132.74962,2,1000,5.158307200000081,1
AAVEUSDT,YFIUSDT,145553.20704,2,1000,490.0907399999851,1
ATOMUSDT,POWRUSDT,828.1246463999998,2,1000,5.099466399999926,1
AVAXUSDT,CRVUSDT,444.45807,2,1000,-20.040255000000002,1
AVAXUSDT,ETHUSDT,67485.35511,2,1000,94.42455999999947,1
AVAXUSDT,FTMUSDT,2552.32323,2,1000,-92.74904629999992,1
BTCUSDT,YFIUSDT,25554098.22264,2,1000,220508.37094000168,1
SOLUSDT,SUSHIUSDT,3689.22114,2,1000,90.46765400000004,1
TRXUSDT,YFIUSDT,20366.078760000004,2,1000,99.16491000000241,1
