reward,trading history
9.466095929402854,"[{'time': 171, 'w1': -0.01653170061535218, 'stock1_payoff': -809.7294740710753, 'w2': 0.7588412193855899, 'stock2_payoff': 1189.470525928925, 'type': '上開倉'}, {'time': 223, 'w1': 0.01653170061535218, 'stock1_payoff': 803.3117909205974, 'w2': -0.7588412193855899, 'stock2_payoff': -1173.5867468490444, 'type': '正常平倉'}]"
9.466032024753758,"[{'time': 170, 'w1': -0.01653176192817591, 'stock1_payoff': -809.7324771983197, 'w2': 0.7588393034938626, 'stock2_payoff': 1189.4675228016802, 'type': '上開倉'}, {'time': 222, 'w1': 0.01653176192817591, 'stock1_payoff': 803.3147702459182, 'w2': -0.7588393034938626, 'stock2_payoff': -1173.583783824525, 'type': '正常平倉'}]"
9.465771712167452,"[{'time': 169, 'w1': -0.016532011683084248, 'stock1_payoff': -809.7447102961286, 'w2': 0.7588314991988795, 'stock2_payoff': 1189.4552897038714, 'type': '上開倉'}, {'time': 221, 'w1': 0.016532011683084248, 'stock1_payoff': 803.3269063877088, 'w2': -0.7588314991988795, 'stock2_payoff': -1173.5717140832842, 'type': '正常平倉'}]"
11.247712343224975,"[{'time': 170, 'w1': -0.0165428921759996, 'stock1_payoff': -809.7547642839761, 'w2': 0.7580081565789929, 'stock2_payoff': 1189.445235716024, 'type': '上開倉'}, {'time': 220, 'w1': 0.0165428921759996, 'stock1_payoff': 803.8556135336521, 'w2': -0.7580081565789929, 'stock2_payoff': -1172.298372622475, 'type': '正常平倉'}]"
15.196155244454076,"[{'time': 155, 'w1': 0.029432754464864905, 'stock1_payoff': 1513.436464423363, 'w2': -0.3017997259620759, 'stock2_payoff': -485.76353557663697, 'type': '下開倉'}, {'time': 168, 'w1': -0.029432754464864905, 'stock1_payoff': -1494.339599630402, 'w2': 0.3017997259620759, 'stock2_payoff': 481.86282602813003, 'type': '正常平倉'}]"
13.424172174711316,"[{'time': 155, 'w1': 0.028185510418936455, 'stock1_payoff': 1450.274162260109, 'w2': -0.34014822317366883, 'stock2_payoff': -548.9258377398909, 'type': '下開倉'}, {'time': 167, 'w1': -0.028185510418936455, 'stock1_payoff': -1431.0153813531415, 'w2': 0.34014822317366883, 'stock2_payoff': 543.0912290076346, 'type': '正常平倉'}]"
7.032645067903559,"[{'time': 155, 'w1': 0.02527810944740241, 'stock1_payoff': 1285.2875555851153, 'w2': -0.4112741491257669, 'stock2_payoff': -713.9124444148847, 'type': '下開倉'}, {'time': 208, 'w1': -0.02527810944740241, 'stock1_payoff': -1288.6436511065206, 'w2': 0.4112741491257669, 'stock2_payoff': 724.3011850041935, 'type': '正常平倉'}]"
4.55358226809642,"[{'time': 156, 'w1': 0.025214297752014152, 'stock1_payoff': 1277.938740305378, 'w2': -0.41736553235529483, 'stock2_payoff': -721.2612596946223, 'type': '下開倉'}, {'time': 201, 'w1': -0.025214297752014152, 'stock1_payoff': -1280.4858779734243, 'w2': 0.41736553235529483, 'stock2_payoff': 728.3619796307651, 'type': '正常平倉'}]"
5.873257391983998,"[{'time': 155, 'w1': 0.024873726446800075, 'stock1_payoff': 1265.5035903537373, 'w2': -0.4224621739534836, 'stock2_payoff': -733.6964096462626, 'type': '下開倉'}, {'time': 199, 'w1': -0.024873726446800075, 'stock1_payoff': -1263.1902645457305, 'w2': 0.4224621739534836, 'stock2_payoff': 737.2563412302399, 'type': '正常平倉'}]"
4.860166880440147,"[{'time': 157, 'w1': 0.024605187210961034, 'stock1_payoff': 1252.517705101252, 'w2': -0.42894941331423875, 'stock2_payoff': -746.6822948987482, 'type': '下開倉'}, {'time': 198, 'w1': -0.024605187210961034, 'stock1_payoff': -1249.552736245098, 'w2': 0.42894941331423875, 'stock2_payoff': 748.5774929230344, 'type': '正常平倉'}]"
4.858866551641427,"[{'time': 156, 'w1': 0.024754612253472225, 'stock1_payoff': 1260.1241301093658, 'w2': -0.4245797214560816, 'stock2_payoff': -739.0758698906344, 'type': '下開倉'}, {'time': 197, 'w1': -0.024754612253472225, 'stock1_payoff': -1257.1411552696127, 'w2': 0.4245797214560816, 'stock2_payoff': 740.9517616025228, 'type': '正常平倉'}]"
5.339382237500558,"[{'time': 156, 'w1': 0.024369258410624414, 'stock1_payoff': 1241.6371460885055, 'w2': -0.4348279603144277, 'stock2_payoff': -757.5628539114946, 'type': '下開倉'}, {'time': 196, 'w1': -0.024369258410624414, 'stock1_payoff': -1237.5713001563568, 'w2': 0.4348279603144277, 'stock2_payoff': 758.8363902168464, 'type': '正常平倉'}]"
17.612160503596556,"[{'time': 228, 'w1': 0.015227291063473453, 'stock1_payoff': 815.8764198659703, 'w2': -0.6567674727725548, 'stock2_payoff': -1183.3235801340297, 'type': '下開倉'}, {'time': 266, 'w1': -0.015227291063473453, 'stock1_payoff': -825.693028476806, 'w2': 0.6567674727725548, 'stock2_payoff': 1210.752349248462, 'type': '正常平倉'}]"
12.783871542744578,"[{'time': 170, 'w1': 0.015220491899563648, 'stock1_payoff': 816.0256076081422, 'w2': -0.6537865456281425, 'stock2_payoff': -1183.1743923918577, 'type': '下開倉'}, {'time': 265, 'w1': -0.015220491899563648, 'stock1_payoff': -825.324346863222, 'w2': 0.6537865456281425, 'stock2_payoff': 1205.257003189682, 'type': '正常平倉'}]"
