stock1,stock2,trade_capital,open,loss,reward,open_num,trading_history,trading history
ADAUSDT,BNBUSDT,0.0,1.5,1000,0.0,0,,"[{'time': 0, 'type': '配對波動太小，不開倉'}]"
ADAUSDT,BUSDUSDT,0.0,1.5,1000,0.0,0,,"[{'time': 0, 'type': '配對波動太小，不開倉'}]"
ADAUSDT,FTMUSDT,1.2356745205920543,1.5,1000,0.004528026865353363,1,,"[{'time': 720, 'w1': -0.6440422806800756, 'stock1_payoff': -0.8108492313762153, 'w2': 0.3559577193199244, 'stock2_payoff': 0.5059102123534605, 'type': '上開倉'}, {'time': 914, 'w1': 0.6440422806800756, 'stock1_payoff': 0.8167067959190005, 'w2': -0.3559577193199244, 'stock2_payoff': -0.5072397500308923, 'type': '正常平倉'}]"
ADAUSDT,LINKUSDT,7.92855292300371,1.5,1000,-0.09333509127108952,1,,"[{'time': 724, 'w1': -0.6223739984420127, 'stock1_payoff': -0.78232411604161, 'w2': 0.3776260015579873, 'stock2_payoff': 7.224461218566261, 'type': '下開倉'}, {'time': 755, 'w1': 0.6223739984420127, 'stock1_payoff': 0.7904722364292128, 'w2': -0.3776260015579873, 'stock2_payoff': -7.325944430224953, 'type': '正常平倉'}]"
ADAUSDT,MATICUSDT,1.3890185177258885,1.5,1000,0.001981299127214009,1,,"[{'time': 720, 'w1': -0.7817207859650496, 'stock1_payoff': -0.9841864695299976, 'w2': 0.2182792140349505, 'stock2_payoff': 0.5032506951488906, 'type': '上開倉'}, {'time': 741, 'w1': 0.7817207859650496, 'stock1_payoff': 0.9858323826448468, 'w2': -0.2182792140349505, 'stock2_payoff': -0.5029153091365259, 'type': '正常平倉'}]"
ADAUSDT,NEARUSDT,6.003643933079884,1.5,1000,0.056126964705704996,1,,"[{'time': 742, 'w1': -0.3688747787297826, 'stock1_payoff': -0.4662577203144452, 'w2': 0.6311252212702174, 'stock2_payoff': 5.584011984796883, 'type': '下開倉'}, {'time': 799, 'w1': 0.3688747787297826, 'stock1_payoff': 0.4626117620014801, 'w2': -0.6311252212702174, 'stock2_payoff': -5.524239061778213, 'type': '正常平倉'}]"
ADAUSDT,SOLUSDT,60.63662418145219,1.5,1000,-0.8491818091999369,1,,"[{'time': 724, 'w1': -0.6661117275283858, 'stock1_payoff': -0.837302441503181, 'w2': 0.3338882724716143, 'stock2_payoff': 59.88305198409933, 'type': '下開倉'}, {'time': 755, 'w1': 0.6661117275283858, 'stock1_payoff': 0.8460231762399826, 'w2': -0.3338882724716143, 'stock2_payoff': -60.74095452803607, 'type': '正常平倉'}]"
ATOMUSDT,BUSDUSDT,0.0,1.5,1000,0.0,0,,"[{'time': 0, 'type': '配對波動太小，不開倉'}]"
AVAXUSDT,BTCUSDT,29032.88931192853,1.5,1000,269.36201194175953,1,,"[{'time': 739, 'w1': -0.4070685339976501, 'stock1_payoff': -48.38823663630067, 'w2': 0.5929314660023499, 'stock2_payoff': 28989.33989895586, 'type': '下開倉'}, {'time': 940, 'w1': 0.4070685339976501, 'stock1_payoff': 47.85229223978203, 'w2': -0.5929314660023499, 'stock2_payoff': -28719.44194261758, 'type': '正常平倉'}]"
AVAXUSDT,DOGEUSDT,32.934972848112295,1.5,1000,0.1021878472536965,1,,"[{'time': 720, 'w1': 0.27499716752625203, 'stock1_payoff': 32.82385166397904, 'w2': -0.7250028324737479, 'stock2_payoff': -0.12346798237027927, 'type': '下開倉'}, {'time': 741, 'w1': -0.27499716752625203, 'stock1_payoff': -32.721912963948725, 'w2': 0.7250028324737479, 'stock2_payoff': 0.12371712959365887, 'type': '正常平倉'}]"
AVAXUSDT,LINKUSDT,56.271657234151775,1.5,1000,0.07153863288432838,1,,"[{'time': 720, 'w1': 0.3821324058369332, 'stock1_payoff': 45.61158763205638, 'w2': -0.6178675941630669, 'stock2_payoff': -11.844521780105994, 'type': '下開倉'}, {'time': 737, 'w1': -0.3821324058369332, 'stock1_payoff': -45.565468071995916, 'w2': 0.6178675941630669, 'stock2_payoff': 11.869940852929862, 'type': '正常平倉'}]"
AVAXUSDT,MATICUSDT,69.62826520475924,1.5,1000,0.4399357956763399,1,,"[{'time': 750, 'w1': 0.5742430760039454, 'stock1_payoff': 68.74273337853985, 'w2': -0.4257569239960545, 'stock2_payoff': -0.983924251354882, 'type': '下開倉'}, {'time': 759, 'w1': -0.5742430760039454, 'stock1_payoff': -68.30047145990926, 'w2': 0.4257569239960545, 'stock2_payoff': 0.9815981284006297, 'type': '正常平倉'}]"
AVAXUSDT,UNIUSDT,51.69563974838563,1.5,1000,0.21830473449618637,1,,"[{'time': 720, 'w1': 0.36135337814586793, 'stock1_payoff': 43.13138854932172, 'w2': -0.6386466218541321, 'stock2_payoff': -9.515834665626569, 'type': '下開倉'}, {'time': 740, 'w1': -0.36135337814586793, 'stock1_payoff': -42.917940722384735, 'w2': 0.6386466218541321, 'stock2_payoff': 9.52069157318577, 'type': '正常平倉'}]"
