stock1,stock2,trade_capital,open,loss,reward,open_num,trading_history,trading history
ADAUSDT,SANDUSDT,2.1323638993976113,1.5,1000,0.007985374135816015,1,,"[{'time': 798, 'w1': -0.5893790377320519, 'stock1_payoff': -1.1563616720302858, 'w2': 0.410620962267948, 'stock2_payoff': 1.091638394570354, 'type': '上開倉'}, {'time': 971, 'w1': 0.5893790377320519, 'stock1_payoff': 1.1611005741831706, 'w2': -0.410620962267948, 'stock2_payoff': -1.0883919225874228, 'type': '正常平倉'}]"
AVAXUSDT,SANDUSDT,15.65055486233338,1.5,1000,-0.054972810533612027,1,,"[{'time': 720, 'w1': 0.18727598005988208, 'stock1_payoff': 13.729177752312548, 'w2': -0.8127240199401179, 'stock2_payoff': -2.1348634555787016, 'type': '下開倉'}, {'time': 883, 'w1': -0.18727598005988208, 'stock1_payoff': -13.841567686225885, 'w2': 0.8127240199401179, 'stock2_payoff': 2.192280578958426, 'type': '正常平倉'}]"
BNBUSDT,SANDUSDT,320.393939087863,1.5,1000,-0.6946914084069664,1,,"[{'time': 833, 'w1': -0.5878517852455718, 'stock1_payoff': -354.76855239570256, 'w2': 0.41214821475442825, 'stock2_payoff': 1.1022419317306633, 'type': '上開倉'}, {'time': 854, 'w1': 0.5878517852455718, 'stock1_payoff': 354.06030856483875, 'w2': -0.41214821475442825, 'stock2_payoff': -1.0886895092738222, 'type': '正常平倉'}]"
DOTUSDT,SANDUSDT,11.873273323346984,1.5,1000,-0.024854832012994876,1,,"[{'time': 722, 'w1': 0.2017088301109619, 'stock1_payoff': 9.991764899212113, 'w2': -0.7982911698890381, 'stock2_payoff': -2.090564915705413, 'type': '下開倉'}, {'time': 824, 'w1': -0.2017088301109619, 'stock1_payoff': -10.067287710838109, 'w2': 0.7982911698890381, 'stock2_payoff': 2.141232895318414, 'type': '正常平倉'}]"
ETHUSDT,YFIUSDT,16738.130385304125,1.5,1000,-69.89288666174207,1,,"[{'time': 720, 'w1': -0.5534402790827689, 'stock1_payoff': -2419.5910905247483, 'w2': 0.4465597209172312, 'stock2_payoff': 14560.498403831849, 'type': '上開倉'}, {'time': 1019, 'w1': 0.5534402790827689, 'stock1_payoff': 2437.0106233088786, 'w2': -0.4465597209172312, 'stock2_payoff': -14647.810823277721, 'type': '正常平倉'}]"
LINKUSDT,SANDUSDT,8.740025296240235,1.5,1000,0.004615978730881487,1,,"[{'time': 723, 'w1': 0.22260431415850895, 'stock1_payoff': 6.9148323831510075, 'w2': -0.7773956858414909, 'stock2_payoff': -2.027992125654697, 'type': '下開倉'}, {'time': 802, 'w1': -0.22260431415850895, 'stock1_payoff': -6.963062946878161, 'w2': 0.7773956858414909, 'stock2_payoff': 2.0808386681127318, 'type': '正常平倉'}]"
LUNAUSDT,SANDUSDT,11.639338107857336,1.5,1000,-0.012763748041416445,1,,"[{'time': 722, 'w1': 0.2028907927063441, 'stock1_payoff': 9.760615475002773, 'w2': -0.7971092072936559, 'stock2_payoff': -2.087469592060626, 'type': '下開倉'}, {'time': 824, 'w1': -0.2028907927063441, 'stock1_payoff': -9.823972182841182, 'w2': 0.7971092072936559, 'stock2_payoff': 2.1380625518576184, 'type': '正常平倉'}]"
SANDUSDT,SUSHIUSDT,4.939547631966444,1.5,1000,-0.009260957238085732,1,,"[{'time': 728, 'w1': -0.7133480747750706, 'stock1_payoff': -1.8552756728750035, 'w2': 0.2866519252249295, 'stock2_payoff': 3.2697995263789403, 'type': '上開倉'}, {'time': 802, 'w1': 0.7133480747750706, 'stock1_payoff': 1.9094037757734574, 'w2': -0.2866519252249295, 'stock2_payoff': -3.33318858651548, 'type': '正常平倉'}]"
SANDUSDT,UNIUSDT,7.584054003927056,1.5,1000,0.0003495470735228601,1,,"[{'time': 722, 'w1': -0.7650316547817302, 'stock1_payoff': -2.0034648975423948, 'w2': 0.23496834521826976, 'stock2_payoff': 5.7809355961389, 'type': '上開倉'}, {'time': 802, 'w1': 0.7650316547817302, 'stock1_payoff': 2.047744126437924, 'w2': -0.23496834521826976, 'stock2_payoff': -5.824865277960907, 'type': '正常平倉'}]"
SANDUSDT,YFIUSDT,2851.8464379421757,1.5,1000,-18.383375452660466,1,,"[{'time': 720, 'w1': -0.912602147186652, 'stock1_payoff': -2.397223320229897, 'w2': 0.08739785281334808, 'stock2_payoff': 2849.688936953969, 'type': '上開倉'}, {'time': 884, 'w1': 0.912602147186652, 'stock1_payoff': 2.46898647452553, 'w2': -0.08739785281334808, 'stock2_payoff': -2868.144075560925, 'type': '正常平倉'}]"
