S1,S2,VECM(q),mu,Johansen_slope,stdev,model,w1,w2
ADAUPUSDT,ATOMUSDT,0.0,3.3896500252115738,0.0,0.0032180170052377934,3.0,-0.025254460076778167,0.9747455399232219
ADAUPUSDT,AXSUSDT,0.0,-4.910964616085718,0.0,0.0028294749064447034,2.0,-0.04943273579295418,-0.9505672642070458
ADAUPUSDT,FTTUSDT,0.0,4.1370456302457095,0.0002038282774896993,0.0030540025328765915,5.0,0.09207030878869134,0.9079296912113087
ADAUPUSDT,TRBUSDT,0.0,3.4742369828910777,0.0,0.004011938201231837,3.0,-0.0746926698918746,0.9253073301081254
ADAUPUSDT,ZENUSDT,0.0,4.247684238649458,0.0,0.004017038759206563,2.0,-0.021824437643838096,0.9781755623561619
ARUSDT,ATOMUSDT,0.0,3.5980117522339463,0.0,0.0037267471013814665,3.0,0.004598352851882581,0.9954016471481174
ARUSDT,AXSUSDT,0.0,4.9130095911970475,0.0,0.0032120306228422785,3.0,0.03137709378444937,0.9686229062155507
ARUSDT,FILUSDT,0.0,4.174140507682107,0.0,0.0036977807146367117,3.0,0.019323315284161702,0.9806766847158384
ARUSDT,LPTUSDT,0.0,3.773841816843739,0.0,0.011384963787523949,2.0,0.38912023884086616,0.6108797611591339
ARUSDT,TRBUSDT,0.0,4.129704105507597,0.00027501425897384803,0.004529583029474527,4.0,0.11141898618461012,0.8885810138153899
ATOMUSDT,AVAXUSDT,0.0,0.0,0.0,0.0062163023247468144,1.0,-0.5425953293192843,0.4574046706807157
ATOMUSDT,AXSUSDT,0.0,4.329647003760929,0.0,0.002576110488711948,2.0,0.44977131884254995,0.55022868115745
ATOMUSDT,DOTUSDT,0.0,-2.2700677757533696,0.0,0.002402296557207824,3.0,-0.8238570164441275,0.17614298355587257
ATOMUSDT,FILUSDT,0.0,-3.8665988159000655,0.0,0.0024278863074895995,2.0,-0.5276264214802682,-0.47237357851973183
ATOMUSDT,LINKUSDT,0.0,-3.5563751272374664,0.0,0.0029366459246603772,3.0,-0.690757518601209,-0.3092424813987909
ATOMUSDT,MLNUSDT,0.0,-3.5804716297471013,0.0,0.004512131523560833,3.0,-0.9983148364839921,0.0016851635160078475
ATOMUSDT,NEOUSDT,0.0,-2.241134296433051,0.0,0.002660706815358747,3.0,-0.8178303126833535,0.18216968731664648
ATOMUSDT,NMRUSDT,0.0,0.0,0.0,0.0024501636649145054,1.0,-0.5138920422325283,0.4861079577674718
