S1,S2,VECM(q),mu,Johansen_slope,stdev,model,w1,w2
ADAUPUSDT,ETCUSDT,0.0,1.2365291781986982,0.0,0.0020520445238567564,3.0,-0.33493588102959315,0.6650641189704068
ADAUPUSDT,FTTUSDT,0.0,0.0,0.0,0.005227888053119459,1.0,-0.4319795527508562,0.5680204472491439
ADAUPUSDT,HNTUSDT,0.0,0.0,0.0,0.003106268149296087,1.0,-0.37208109340863904,0.627918906591361
ADAUPUSDT,ICPUSDT,0.0,0.6258904685277705,0.0,0.0030825539819262114,3.0,-0.3960993550965139,0.6039006449034862
ADAUPUSDT,LUNAUSDT,0.0,-0.7174233865827131,0.0,0.002553711278802048,3.0,-0.40644020645003553,0.5935597935499645
ADAUPUSDT,TRBUSDT,0.0,0.0,0.0,0.0030225947951392318,1.0,-0.4564414148832061,0.543558585116794
ARUSDT,ATOMUSDT,0.0,-2.3392853005102285,-0.0006671667622655932,0.00682624665708825,5.0,-0.9688148970701862,-0.031185102929813854
ARUSDT,HNTUSDT,1.0,-2.446551134687149,-0.0006030165944896919,0.005048847919387477,4.0,-0.47304830100057915,-0.5269516989994208
ARUSDT,LINKUSDT,0.0,-1.3120555436089136,-0.0005086786100053976,0.005099742064485922,4.0,-0.8048259342207705,0.1951740657792295
ARUSDT,NEOUSDT,0.0,-0.9085786783798955,-0.0004158325767666456,0.004772705752938985,4.0,-0.7586552496769259,0.24134475032307415
ATOMUSDT,AVAXUSDT,0.0,0.0,0.0,0.0025802729183337105,1.0,-0.4968483402066441,0.503151659793356
ATOMUSDT,DCRUSDT,1.0,3.199164061224299,-0.00023316581995121003,0.003297650247364444,5.0,-0.2403560265522739,0.7596439734477262
ATOMUSDT,DOTUSDT,0.0,0.5826537786058393,0.0,0.002041001493140926,2.0,-0.4137387792882521,0.5862612207117479
ATOMUSDT,ETCUSDT,0.0,1.550656002608861,0.0,0.001953439640915162,3.0,-0.382546826691534,0.6174531733084659
ATOMUSDT,FTTUSDT,0.0,0.0,0.0,0.00447136724631424,1.0,-0.5710561044914051,0.42894389550859496
ATOMUSDT,ICPUSDT,0.0,-1.091764211301201,0.0,0.002989912157285782,2.0,0.43911267358601697,-0.5608873264139831
ATOMUSDT,LINKUSDT,0.0,0.5680107389539636,0.0,0.002213164919598617,3.0,-0.43537749834025646,0.5646225016597436
ATOMUSDT,LPTUSDT,0.0,1.293561668077318,0.0,0.0028966279924080326,2.0,-0.29806651077965823,0.7019334892203417
ATOMUSDT,LUNAUSDT,0.0,0.0,0.0,0.0022915255182770506,1.0,-0.4162592298221321,0.583740770177868
ATOMUSDT,NEOUSDT,0.0,2.9605859418230356,0.0004673100949487694,0.0036465587597664076,5.0,-0.10080981614675144,0.8991901838532486
ATOMUSDT,NMRUSDT,0.0,1.7887276194181676,0.00015610767234768342,0.005037326197855569,5.0,-0.28063443789426173,0.7193655621057383
ATOMUSDT,TORNUSDT,0.0,0.9275653558486302,0.0,0.003456640145080804,2.0,-0.4457872821504685,0.5542127178495315
ATOMUSDT,TRBUSDT,0.0,0.0,0.0,0.0026978024681990577,1.0,-0.5953684939292111,0.404631506070789
AVAXUSDT,DCRUSDT,1.0,1.5231863351289898,-0.0003190587966864006,0.0016889808963474248,4.0,-0.4678782150060361,0.5321217849939639
AVAXUSDT,ETCUSDT,0.0,1.4278709430976293,0.0,0.0020808250760783165,3.0,-0.40345661971785785,0.5965433802821422
AVAXUSDT,HNTUSDT,0.0,-1.510112142545219,-0.00044314032741202746,0.0032543284543095517,4.0,-0.8186413398955819,0.18135866010441817
AVAXUSDT,ICPUSDT,0.0,-0.2790390770675312,-0.0002200779252524255,0.0019272802647720946,4.0,-0.6597980706201727,0.3402019293798273
AVAXUSDT,LINKUSDT,0.0,0.43343243232087464,0.0,0.0012800161748506185,3.0,-0.46323221645932916,0.5367677835406708
AVAXUSDT,LPTUSDT,0.0,1.0257132866868695,0.0,0.0021088448668436246,2.0,-0.349970832249523,0.650029167750477
AVAXUSDT,NEOUSDT,0.0,0.4111713649477474,0.0,0.0014301634921353487,3.0,-0.5274074803058385,0.4725925196941615
AVAXUSDT,NMRUSDT,0.0,-0.23893562102318447,-0.00016563894072362293,0.0020969029034875976,4.0,-0.628286980127324,0.371713019872676
AVAXUSDT,TORNUSDT,0.0,-0.004544787456919563,-0.00013619907267773952,0.00216860740520964,4.0,-0.6018204972731793,0.39817950272682073
AXSUSDT,DCRUSDT,1.0,4.77286025806732,0.0,0.0042681894257573195,3.0,0.07274801710642459,0.9272519828935755
AXSUSDT,TRBUSDT,0.0,0.0,0.0,0.0190908056821351,1.0,-0.6305833811209445,0.36941661887905547
BTGUSDT,DCRUSDT,2.0,0.0,0.0,0.006468379198279936,1.0,-0.5613494155136247,0.43865058448637534
BTGUSDT,ETCUSDT,1.0,0.0,0.0,0.002026147798626097,1.0,-0.5107682029182289,0.4892317970817711
BTGUSDT,FILUSDT,0.0,0.0,0.0,0.0021106161435808517,1.0,-0.5127221162074644,0.48727788379253567
BTGUSDT,FTTUSDT,0.0,0.0,0.0,0.003081508986168981,1.0,-0.4603877036943093,0.5396122963056907
BTGUSDT,ICPUSDT,0.0,-0.6957562324501023,0.0,0.002796793128072032,3.0,-0.5902795171429104,0.40972048285708956
BTGUSDT,LUNAUSDT,0.0,-1.6543713281101835,0.0,0.0028326691491364223,3.0,-0.606236447748497,0.39376355225150295
BTGUSDT,NMRUSDT,0.0,-1.0190965847574711,0.0,0.0035118164903363627,3.0,-0.610829931915696,0.38917006808430404
BTGUSDT,WNXMUSDT,1.0,-1.1916900615284183,0.0,0.0033468663671428027,3.0,-0.6607305592934792,0.33926944070652076
BTGUSDT,ZENUSDT,0.0,0.0,0.0,0.0021948114818626505,1.0,-0.5199161868802386,0.48008381311976145
DCRUSDT,HNTUSDT,1.0,-4.781029947675285,0.0,0.004546126969152261,2.0,-0.9174338299909104,-0.08256617000908958
DCRUSDT,LINKUSDT,1.0,-1.5572545034314194,0.0002629556973609252,0.0018295249727488042,4.0,-0.5648109355991544,0.43518906440084565
DCRUSDT,NEOUSDT,1.0,0.8553373367240449,-0.00035726376384628676,0.0019915690270582297,4.0,0.5169424342621382,-0.4830575657378619
DCRUSDT,WNXMUSDT,1.0,-2.0562641473425014,0.0002742854541405605,0.0028595218323825317,4.0,-0.6741137923966757,0.3258862076033244
DOTUSDT,ETCUSDT,0.0,-0.8648988607500097,0.0,0.0014182711714771426,2.0,0.46868412412123506,-0.5313158758787649
DOTUSDT,FILUSDT,0.0,1.3879378379997045,0.0,0.0013290857716738488,3.0,-0.39449780137094453,0.6055021986290554
DOTUSDT,FTTUSDT,0.0,0.0,0.0,0.002161568250017057,1.0,-0.5464822923667608,0.4535177076332392
DOTUSDT,ICPUSDT,0.0,0.3660666895574125,0.0,0.0019040744058523103,3.0,-0.5310452531080426,0.4689547468919575
DOTUSDT,LPTUSDT,0.0,0.6681292626550278,0.0,0.0020735283595383937,3.0,-0.39490605767892495,0.6050939423210752
DOTUSDT,LUNAUSDT,0.0,-0.6813302932341208,0.0,0.0015538474385156332,3.0,-0.5428642559413271,0.45713574405867285
DOTUSDT,NMRUSDT,0.0,0.0,0.0,0.0029789202077298072,1.0,-0.5583108154851439,0.4416891845148561
DOTUSDT,TORNUSDT,0.0,0.0,0.0,0.002172282232051029,1.0,-0.572047297890021,0.42795270210997904
DOTUSDT,WNXMUSDT,0.0,0.0,0.0,0.002509599022054238,1.0,-0.5954846749500639,0.4045153250499362
ETCUSDT,FTTUSDT,1.0,0.0,0.0,0.0021861481641368397,1.0,-0.4496471407228512,0.5503528592771488
ETCUSDT,ICPUSDT,0.0,-0.6074965223661881,0.0,0.0018826874339410527,3.0,-0.5664201929446644,0.43357980705533566
ETCUSDT,LPTUSDT,1.0,0.0,0.0,0.0023991859149068684,1.0,-0.41705084275522114,0.5829491572447789
ETCUSDT,LUNAUSDT,0.0,-1.5746554517980305,0.0,0.001822066788251487,2.0,-0.5747081648104047,0.42529183518959535
ETCUSDT,TORNUSDT,1.0,-0.7952691532332135,0.0,0.002730476827306918,2.0,-0.5784317075347079,0.42156829246529215
ETCUSDT,TRBUSDT,0.0,-1.4233386240698243,0.0,0.002271740364335511,2.0,-0.6589709364045072,0.34102906359549284
ETCUSDT,WNXMUSDT,1.0,-1.0108217642334025,0.0,0.002596466040779712,3.0,-0.6243777772120697,0.3756222227879304
ETCUSDT,ZENUSDT,0.0,0.0,0.0,0.0019147735693611282,1.0,-0.5091136560524069,0.4908863439475932
FILUSDT,LUNAUSDT,0.0,-1.9952883589438355,0.0,0.0014653879040222183,3.0,-0.6435307077128982,0.35646929228710184
FILUSDT,TRBUSDT,0.0,-1.993564118299409,0.0,0.0018322012446489518,3.0,-0.7300223249444181,0.2699776750555819
FTTUSDT,HNTUSDT,0.0,0.0,0.0,0.0023334118294219444,1.0,-0.4378237791126113,0.5621762208873887
FTTUSDT,ICPUSDT,0.0,0.0,0.0,0.002345850256565812,1.0,-0.5402745075329964,0.4597254924670036
FTTUSDT,LINKUSDT,0.0,0.0,0.0,0.0019754360551373497,1.0,-0.46896729917372865,0.5310327008262714
FTTUSDT,LPTUSDT,1.0,-2.7971042743657475,-0.00034632302929546953,0.004047409696650834,4.0,0.012590560938543518,-0.9874094390614565
FTTUSDT,LUNAUSDT,0.0,0.0,0.0,0.005515810138997851,1.0,-0.3489459788358524,0.6510540211641476
FTTUSDT,NEOUSDT,0.0,0.0,0.0,0.0046406409446067155,1.0,-0.521731654608124,0.47826834539187596
FTTUSDT,TRBUSDT,0.0,-1.0074253276102194,0.0,0.001897952554671091,2.0,-0.6691928938860022,0.33080710611399783
FTTUSDT,ZENUSDT,0.0,0.0,0.0,0.0021298870975540478,1.0,-0.5593216379014133,0.4406783620985867
HNTUSDT,ICPUSDT,0.0,0.0,0.0,0.002396481232579014,1.0,-0.6014373006411959,0.3985626993588041
HNTUSDT,NEOUSDT,0.0,-3.307844023945433,-0.0006120920024891014,0.004566096188196127,4.0,-0.25093979374084435,-0.7490602062591557
HNTUSDT,NMRUSDT,0.0,-3.3828072547551797,-0.0005952259952738837,0.00861805465606002,4.0,-0.05528060474728668,-0.9447193952527133
HNTUSDT,TRBUSDT,0.0,-0.7407181566827741,-0.00026437902377155425,0.0027382105200656603,4.0,0.46463445709142925,-0.5353655429085707
ICPUSDT,LPTUSDT,0.0,0.0,0.0,0.003006743208129302,1.0,-0.4268921586409395,0.5731078413590606
ICPUSDT,TRBUSDT,0.0,-0.00023833433150110194,-0.00015753904069219188,0.002191182735814695,4.0,0.4828245610756062,-0.5171754389243939
LINKUSDT,LPTUSDT,0.0,0.6724076541418342,0.0,0.0020119825027953503,2.0,-0.38232413414831423,0.6176758658516859
LINKUSDT,NEOUSDT,0.0,0.0,0.0,0.0017681011661721693,1.0,-0.5524394552693077,0.4475605447306923
LINKUSDT,NMRUSDT,0.0,0.0,0.0,0.0028309626178125115,1.0,-0.5429579702063971,0.4570420297936029
LINKUSDT,TORNUSDT,0.0,0.0,0.0,0.002166838725017814,1.0,-0.5567961177572571,0.44320388224274293
LPTUSDT,LUNAUSDT,0.0,1.2591857722681716,0.0,0.002441865660463344,2.0,0.6490882301928341,-0.3509117698071659
LPTUSDT,NMRUSDT,0.0,-0.6498556078879553,0.0,0.0026691054263689173,3.0,-0.6471103884641883,0.3528896115358116
LUNAUSDT,TRBUSDT,0.0,0.4631500296978108,0.0,0.0022506032103809946,3.0,-0.5880407181732329,0.4119592818267671
NEOUSDT,NMRUSDT,0.0,0.0,0.0,0.003071190509053847,1.0,-0.4906094196143083,0.5093905803856917
NMRUSDT,TORNUSDT,0.0,0.0,0.0,0.0031218089746859385,1.0,-0.5139826683080069,0.4860173316919932
NMRUSDT,TRBUSDT,0.0,0.0,0.0,0.0035747829688266056,1.0,-0.5125657224592773,0.4874342775407226
TORNUSDT,TRBUSDT,0.0,-2.032085343392992,-0.000308016827544472,0.004256697891941974,4.0,-0.7789655644407724,0.22103443555922767
TORNUSDT,WNXMUSDT,0.0,0.0,0.0,0.0029708081405729592,1.0,-0.5241364167422462,0.47586358325775385
