reward,trading history
7.878808037509998,"[{'time': 171, 'w1': -0.01653170061535218, 'stock1_payoff': -810.3775168674507, 'w2': 0.7588412193855899, 'stock2_payoff': 1189.470525928925, 'type': '上開倉'}, {'time': 223, 'w1': 0.01653170061535218, 'stock1_payoff': 803.3117909205974, 'w2': -0.7588412193855899, 'stock2_payoff': -1174.5259919445618, 'type': '正常平倉'}]"
7.878744100766198,"[{'time': 170, 'w1': -0.01653176192817591, 'stock1_payoff': -810.3805223981581, 'w2': 0.7588393034938626, 'stock2_payoff': 1189.4675228016802, 'type': '上開倉'}, {'time': 222, 'w1': 0.01653176192817591, 'stock1_payoff': 803.3147702459182, 'w2': -0.7588393034938626, 'stock2_payoff': -1174.5230265486741, 'type': '正常平倉'}]"
7.8784836574423025,"[{'time': 169, 'w1': -0.016532011683084248, 'stock1_payoff': -810.3927652863614, 'w2': 0.7588314991988795, 'stock2_payoff': 1189.4552897038714, 'type': '上開倉'}, {'time': 221, 'w1': 0.016532011683084248, 'stock1_payoff': 803.3269063877088, 'w2': -0.7588314991988795, 'stock2_payoff': -1174.5109471477765, 'type': '正常平倉'}]"
9.661435322891975,"[{'time': 170, 'w1': -0.0165428921759996, 'stock1_payoff': -810.4028273206179, 'w2': 0.7580081565789929, 'stock2_payoff': 1189.445235716024, 'type': '上開倉'}, {'time': 220, 'w1': 0.0165428921759996, 'stock1_payoff': 803.8556135336521, 'w2': -0.7580081565789929, 'stock2_payoff': -1173.2365866061662, 'type': '正常平倉'}]"
13.611438849730689,"[{'time': 155, 'w1': 0.029432754464864905, 'stock1_payoff': 1513.436464423363, 'w2': -0.3017997259620759, 'stock2_payoff': -486.1523019116322, 'type': '下開倉'}, {'time': 168, 'w1': -0.029432754464864905, 'stock1_payoff': -1495.5355496901302, 'w2': 0.3017997259620759, 'stock2_payoff': 481.86282602813003, 'type': '正常平倉'}]"
11.839585364713116,"[{'time': 155, 'w1': 0.028185510418936455, 'stock1_payoff': 1450.274162260109, 'w2': -0.34014822317366883, 'stock2_payoff': -549.3651541366415, 'type': '下開倉'}, {'time': 167, 'w1': -0.028185510418936455, 'stock1_payoff': -1432.160651766389, 'w2': 0.34014822317366883, 'stock2_payoff': 543.0912290076346, 'type': '正常平倉'}]"
5.429959117106364,"[{'time': 155, 'w1': 0.02527810944740241, 'stock1_payoff': 1285.2875555851153, 'w2': -0.4112741491257669, 'stock2_payoff': -714.4838029138161, 'type': '下開倉'}, {'time': 208, 'w1': -0.02527810944740241, 'stock1_payoff': -1289.6749785583863, 'w2': 0.4112741491257669, 'stock2_payoff': 724.3011850041935, 'type': '正常平倉'}]"
2.951543742551962,"[{'time': 156, 'w1': 0.025214297752014152, 'stock1_payoff': 1277.938740305378, 'w2': -0.41736553235529483, 'stock2_payoff': -721.8384995983394, 'type': '下開倉'}, {'time': 201, 'w1': -0.025214297752014152, 'stock1_payoff': -1281.5106765952517, 'w2': 0.41736553235529483, 'stock2_payoff': 728.3619796307651, 'type': '正常平倉'}]"
4.275108793190839,"[{'time': 155, 'w1': 0.024873726446800075, 'stock1_payoff': 1265.5035903537373, 'w2': -0.4224621739534836, 'stock2_payoff': -734.2836016507814, 'type': '下開倉'}, {'time': 199, 'w1': -0.024873726446800075, 'stock1_payoff': -1264.201221140005, 'w2': 0.4224621739534836, 'stock2_payoff': 737.2563412302399, 'type': '正常平倉'}]"
3.262539804694825,"[{'time': 157, 'w1': 0.024605187210961034, 'stock1_payoff': 1252.517705101252, 'w2': -0.42894941331423875, 'stock2_payoff': -747.2798797686152, 'type': '下開倉'}, {'time': 198, 'w1': -0.024605187210961034, 'stock1_payoff': -1250.5527784509763, 'w2': 0.42894941331423875, 'stock2_payoff': 748.5774929230344, 'type': '正常平倉'}]"
3.2612538864474345,"[{'time': 156, 'w1': 0.024754612253472225, 'stock1_payoff': 1260.1241301093658, 'w2': -0.4245797214560816, 'stock2_payoff': -739.6673671854647, 'type': '下開倉'}, {'time': 197, 'w1': -0.024754612253472225, 'stock1_payoff': -1258.1472706399763, 'w2': 0.4245797214560816, 'stock2_payoff': 740.9517616025228, 'type': '正常平倉'}]"
3.7426362158375923,"[{'time': 156, 'w1': 0.024369258410624414, 'stock1_payoff': 1241.6371460885055, 'w2': -0.4348279603144277, 'stock2_payoff': -758.1691467117439, 'type': '下開倉'}, {'time': 196, 'w1': -0.024369258410624414, 'stock1_payoff': -1238.5617533777704, 'w2': 0.4348279603144277, 'stock2_payoff': 758.8363902168464, 'type': '正常平倉'}]"
16.004304074136257,"[{'time': 228, 'w1': 0.015227291063473453, 'stock1_payoff': 815.8764198659703, 'w2': -0.6567674727725548, 'stock2_payoff': -1184.2706178132084, 'type': '下開倉'}, {'time': 266, 'w1': -0.015227291063473453, 'stock1_payoff': -826.3538472270876, 'w2': 0.6567674727725548, 'stock2_payoff': 1210.752349248462, 'type': '正常平倉'}]"
11.176429574553481,"[{'time': 170, 'w1': 0.015220491899563648, 'stock1_payoff': 816.0256076081422, 'w2': -0.6537865456281425, 'stock2_payoff': -1184.1213106730836, 'type': '下開倉'}, {'time': 265, 'w1': -0.015220491899563648, 'stock1_payoff': -825.9848705501872, 'w2': 0.6537865456281425, 'stock2_payoff': 1205.257003189682, 'type': '正常平倉'}]"
