S1,S2,VECM(q),mu,Johansen_slope,stdev,model,w1,w2,form_del_min
BTCUSDT,ETHUSDT,0.0,0.0,0.0,0.0022133787844087136,1.0,-0.4050289263319817,0.5949710736680183,257
BTCUSDT,ETHUSDT,0.0,0.0,0.0,0.00220328481451572,1.0,-0.40503176780097117,0.5949682321990288,258
BTCUSDT,ETHUSDT,0.0,0.0,0.0,0.00214454408180898,1.0,-0.40503583288310807,0.5949641671168919,259
BTCUSDT,ETHUSDT,0.0,0.0,0.0,0.0021271821937617233,1.0,-0.4050367732154852,0.5949632267845147,260
BTCUSDT,ETHUSDT,0.0,0.0,0.0,0.0021370334920767548,1.0,-0.405038101013955,0.5949618989860451,261
BTCUSDT,ETHUSDT,1.0,-3.4885793468830535,4.449390821084711e-05,0.0015032847569211236,4.0,-0.596991291336753,0.40300870866324706,975
BTCUSDT,ETHUSDT,0.0,-3.955854161472214,0.0,0.0015973878241964494,3.0,-0.6240217127763262,0.37597828722367377,1460
BTCUSDT,ETHUSDT,0.0,-4.027211933130953,0.0,0.001484709608590586,3.0,-0.6279309127083935,0.3720690872916064,1461
BTCUSDT,ETHUSDT,0.0,-4.063814230042364,0.0,0.0014132315138992238,3.0,-0.6299393279116136,0.37006067208838656,1463
BTCUSDT,ETHUSDT,0.0,-3.8630076265179776,0.0,0.001373641654139361,3.0,-0.6189510120022312,0.3810489879977687,1464
BTCUSDT,ETHUSDT,0.0,-3.7127218788357275,0.0,0.0013378870301369262,3.0,-0.6107292148925269,0.3892707851074732,1466
BTCUSDT,ETHUSDT,0.0,-3.656240364309781,0.0,0.001408127194806215,3.0,-0.6076393777918089,0.3923606222081912,1467
BTCUSDT,ETHUSDT,0.0,-3.7360567724920988,0.0,0.0012942926070878776,3.0,-0.6120095623296101,0.3879904376703898,1468
BTCUSDT,ETHUSDT,0.0,0.0,0.0,0.003132558253020422,1.0,-0.4081751374662909,0.5918248625337091,1656
BTCUSDT,ETHUSDT,0.0,0.0,0.0,0.0030990569774765326,1.0,-0.40818546540852696,0.5918145345914732,1657
BTCUSDT,ETHUSDT,0.0,0.0,0.0,0.0031005119549546646,1.0,-0.40817426741840973,0.5918257325815903,1658
BTCUSDT,ETHUSDT,0.0,0.0,0.0,0.002980992588594617,1.0,-0.4081937126353081,0.5918062873646919,1659
BTCUSDT,ETHUSDT,0.0,0.0,0.0,0.0030093910789865024,1.0,-0.40818120530138,0.59181879469862,1660
BTCUSDT,ETHUSDT,0.0,0.0,0.0,0.0030599828684721294,1.0,-0.4081712548725916,0.5918287451274085,1662
BTCUSDT,ETHUSDT,0.0,0.0,0.0,0.0030699756193960136,1.0,-0.4081703171142341,0.5918296828857659,1663
BTCUSDT,ETHUSDT,0.0,0.0,0.0,0.0030625563750659836,1.0,-0.40817840266928873,0.5918215973307113,1664
BTCUSDT,ETHUSDT,0.0,2.8289438992708815,0.0,0.004161488220606592,3.0,-0.25447100797805705,0.745528992021943,1687
