day,BTCUSDT,ETHUSDT
2021-10-01,47370.0,3229.86
2021-10-01,47368.29,3234.21
2021-10-01,47250.0,3230.62
2021-10-01,47323.14,3230.61
2021-10-01,47363.68,3235.7
2021-10-01,47333.95,3231.08
2021-10-01,47257.47,3226.16
2021-10-01,47308.45,3236.05
2021-10-01,47335.48,3239.22
2021-10-01,47365.77,3242.88
2021-10-01,47455.67,3250.29
2021-10-01,47473.53,3250.92
2021-10-01,47535.18,3256.72
2021-10-01,47576.5,3263.19
2021-10-01,47504.74,3263.99
2021-10-01,47400.04,3261.6
2021-10-01,47559.88,3276.55
2021-10-01,47452.93,3263.78
2021-10-01,47528.35,3272.45
2021-10-01,47455.27,3266.86
2021-10-01,47460.01,3266.84
2021-10-01,47456.02,3270.52
2021-10-01,47436.8,3265.94
2021-10-01,47557.08,3278.96
2021-10-01,47552.35,3276.0
2021-10-01,47531.29,3272.41
2021-10-01,47645.23,3279.91
2021-10-01,47604.02,3274.89
2021-10-01,47617.29,3276.24
2021-10-01,47621.78,3270.66
2021-10-01,47623.38,3270.27
2021-10-01,47545.91,3266.38
2021-10-01,47572.75,3267.19
2021-10-01,47579.99,3269.51
2021-10-01,47680.68,3284.99
2021-10-01,47866.0,3290.32
2021-10-01,47750.38,3282.76
2021-10-01,47780.99,3289.09
2021-10-01,47707.57,3287.36
2021-10-01,47750.0,3295.02
2021-10-01,47724.18,3292.61
2021-10-01,47783.5,3295.13
2021-10-01,47828.39,3294.29
2021-10-01,48026.16,3302.44
2021-10-01,47947.43,3293.98
2021-10-01,47865.82,3290.44
2021-10-01,47964.1,3298.44
2021-10-01,47844.82,3287.18
2021-10-01,47882.17,3291.88
2021-10-01,47857.65,3293.04
2021-10-01,47902.48,3297.23
2021-10-01,47929.99,3296.03
2021-10-01,48030.0,3297.65
2021-10-01,47955.99,3296.59
2021-10-01,48034.66,3311.57
2021-10-01,47876.51,3297.08
2021-10-01,47885.49,3293.75
2021-10-01,47840.79,3286.81
2021-10-01,47791.54,3284.31
2021-10-01,47921.48,3286.84
2021-10-01,48099.99,3302.78
2021-10-01,47926.19,3281.31
2021-10-01,47944.71,3281.46
2021-10-01,48010.77,3289.52
2021-10-01,48090.42,3290.27
2021-10-01,48096.77,3286.22
2021-10-01,48140.59,3291.14
2021-10-01,48251.2,3298.52
