S1,S2,VECM(q),mu,Johansen_slope,stdev,model,w1,w2
AVAXUSDT,FILUSDT,0.0,0.0,0.0,0.0019477003442340448,1.0,-0.4995787047829307,0.5004212952170694
AVAXUSDT,ICPUSDT,0.0,-1.042253435384681,0.0,0.0022956227452378417,3.0,-0.606914505269242,0.393085494730758
AVAXUSDT,LUNAUSDT,0.0,0.0,0.0,0.00480293618372347,1.0,-0.47160202713907384,0.5283979728609262
AVAXUSDT,NMRUSDT,0.0,0.0,0.0,0.0022204318060633143,1.0,-0.471837679158487,0.528162320841513
AVAXUSDT,TORNUSDT,0.0,0.0,0.0,0.0024649651538241665,1.0,-0.4973897895424443,0.5026102104575557
AVAXUSDT,ZENUSDT,0.0,-1.038959562560632,0.0,0.0026321687201578785,3.0,-0.6257807781103232,0.37421922188967677
AXSUSDT,NMRUSDT,0.0,0.0,0.0,0.0027130941004755047,1.0,-0.44778859600891746,0.5522114039910825
AXSUSDT,TORNUSDT,0.0,0.0,0.0,0.0029164922504153813,1.0,-0.47319329782407965,0.5268067021759204
FILUSDT,ICPUSDT,0.0,-1.1086350132591167,0.0,0.0017835358852620656,3.0,-0.615578225419377,0.38442177458062304
FILUSDT,LINKUSDT,0.0,0.0,0.0,0.0012287853052261348,1.0,-0.4374458803394567,0.5625541196605434
FILUSDT,NMRUSDT,0.0,0.0,0.0,0.0018867088866438887,1.0,-0.4722414323658932,0.5277585676341068
FILUSDT,TORNUSDT,0.0,0.0,0.0,0.0016533479558501721,1.0,-0.4977998319078341,0.5022001680921658
FILUSDT,ZENUSDT,0.0,-0.2328010372414545,-8.202935463443664e-05,0.0011063117587898296,4.0,0.47731656815499834,-0.5226834318450018
ICPUSDT,LUNAUSDT,0.0,0.0,0.0,0.004622279780552915,1.0,-0.4924643560553043,0.5075356439446957
ICPUSDT,NMRUSDT,0.0,1.5311090237739373,0.0,0.001913304955007354,2.0,-0.29393950034827854,0.7060604996517216
LUNAUSDT,TORNUSDT,0.0,0.0,0.0,0.005625529267070019,1.0,-0.5257449738051859,0.4742550261948141
