S1,S2,VECM(q),mu,Johansen_slope,stdev,model,w1,w2
ATOMUSDT,LINKUSDT,1.0,-3.041227535756544,-0.00026830203554564807,0.004169426610634495,5.0,-0.9417032160265866,-0.058296783973413396
ATOMUSDT,LUNAUSDT,1.0,0.0,0.0,0.0020074179912762916,1.0,-0.5760668742613059,0.42393312573869407
ATOMUSDT,TRBUSDT,1.0,-3.1086225673949217,-0.0002375638683943216,0.004231233276811616,5.0,-0.8575280816691236,-0.1424719183308764
AVAXUSDT,LINKUSDT,0.0,-4.088636136715416,-0.00043813640227776546,0.005856371695478844,5.0,-0.9234846269127539,0.0765153730872461
DOTUSDT,LUNAUSDT,1.0,0.0,0.0,0.0016753811813831957,1.0,-0.5647446338968197,0.4352553661031804
ENSUSDT,ICPUSDT,1.0,0.0,0.0,0.0016981323218466218,1.0,-0.45763683406218686,0.5423631659378131
ENSUSDT,TRBUSDT,1.0,0.0,0.0,0.0022654905956447256,1.0,-0.4814385654329501,0.51856143456705
ETCUSDT,NEOUSDT,1.0,-0.08030809261334601,-3.054543689057893e-05,0.0006241575984771151,4.0,0.46548244941543143,-0.5345175505845685
FTTUSDT,LUNAUSDT,1.0,0.0,0.0,0.003227672779945642,1.0,-0.5325760818989734,0.4674239181010265
LINKUSDT,TRBUSDT,1.0,-2.0891262165051816,0.0,0.005263304375258209,2.0,0.21553570178370063,-0.7844642982162994
NEOUSDT,RGTUSDT,1.0,-0.05170286766978655,-0.00010707814599038702,0.0014379493296508398,4.0,-0.48828943725226354,0.5117105627477365
