S1,S2,VECM(q),mu,Johansen_slope,stdev,model,w1,w2
ADAUPUSDT,ATOMUSDT,0.0,0.04195803729128644,8.884657936601896e-05,0.0027409231143717843,5.0,-0.4775363190029707,0.5224636809970292
ADAUPUSDT,ETCUSDT,0.0,0.5620797308609375,8.494685826536202e-05,0.0022513275717733904,5.0,-0.4362987452648334,0.5637012547351666
ADAUPUSDT,TRBUSDT,0.0,0.0,0.0,0.0030166827838620613,1.0,-0.5116716718400518,0.4883283281599483
AXSUSDT,LINKUSDT,0.0,0.0,0.0,0.001748682138045934,1.0,-0.3921905217360323,0.6078094782639677
FILUSDT,TRBUSDT,0.0,0.0,0.0,0.0015961683920264228,1.0,-0.4911107651251791,0.5088892348748209
LINKUSDT,TRBUSDT,0.0,0.0,0.0,0.0014274917482180905,1.0,-0.5399274702234977,0.46007252977650226
